label,APCA_0,APCA_1,APCA_2,APCA_3,APCA_4,APCA_5,APCA_6,APCA_7,APCA_8,APCA_9,APCA_10,APCA_11,APCA_12,APCA_13,APCA_14,APCA_15,APCA_16,APCA_17,APCA_18,APCA_19,APCA_20,APCA_21,APCA_22,APCA_23,APCA_24,APCA_25,APCA_26,APCA_27,APCA_28,APCA_29
3,3.748885260458674651e+00,-6.199331359209720560e+00,1.398560148242649070e+00,4.154633282617496981e-01,1.346731677443108732e-01,4.860190768764666158e-02,3.636600972667441423e-01,2.117587541443854693e-01,7.901769773899826321e-02,4.904063353001128500e-01,1.367175681863301850e+00,-4.471691318232185464e-01,-1.724117951523359560e-01,-3.914677447465121363e-01,1.117829423296821556e+00,3.643345772826063200e-01,4.804770597846401148e-01,3.042380794105793984e-01,-1.784497374585407858e-01,-6.654221596267403949e-02,-3.339946492688696811e-01,3.007799213029543339e-01,4.875675925001560773e-01,4.442409845012084690e-01,-2.537388624397290959e-01,-1.626119744483582874e+00,-1.198197205210397742e+00,4.550443209543532652e-01,8.608915932285730044e-01,8.994943584669456982e-01
3,2.825202177752254240e+00,-6.185295238847658972e+00,7.284034367518493758e-01,6.193631114299081863e-01,3.969972686672996187e-01,1.602810276819900681e-01,7.658100106013586428e-02,-1.398456508122537800e-01,-2.263815900367138756e-01,-1.113926425420206812e+00,1.282104866241368935e-01,-8.670705367493201088e-01,1.326598889764549982e+00,-9.947299196430439694e-02,2.401380344896618113e-01,6.087531435301372085e-01,1.034308902472333536e+00,4.565094424831137587e-01,2.476402765571608933e-01,-3.379823313241431260e-02,-8.741623052147543538e-01,7.835570652228693866e-01,4.093901297034922560e-01,1.043770029919299347e+00,-1.065477328618148922e+00,3.407284629877634363e-01,1.806725265768895361e-01,-2.201459738862990290e-01,-5.511644700736950675e-01,1.692700550696383255e-01
7,8.485775085371584092e-01,4.045155645116833010e-01,-6.118501171911086001e-01,-1.175717773935576860e+00,-4.530472045648111568e+00,-4.171432767054823465e+00,-5.179943666861881457e-01,6.500892693931147548e+00,-4.243796706579934241e-01,5.677580705734723843e-01,-1.365375959088145574e+00,3.678593590409232839e+00,-4.462224308877377199e-01,-3.173507681677812275e+00,-1.022023058758990910e+00,1.362076771914509710e+00,5.523301407633082194e-01,-6.118345007792412582e-02,-1.588673455798236711e+00,-9.672269028904537658e-01,1.410653308749768575e+00,2.725929980372651662e-01,1.569998572672153703e+00,1.563875310354657655e-01,2.428029868681432779e-01,2.615308931046754215e-01,-2.748885893315773932e-01,-1.414433489889760809e+00,-3.294720112642054444e-01,6.483968336795500331e-01
7,3.113449210913753706e+00,-2.099399339213361859e+00,1.330831205570311759e+00,-2.208931686601798561e-01,2.390498978981140388e-01,9.037117183649326924e-01,2.282012884812696374e+00,3.407150603874349759e+00,9.590736251361940690e-02,-1.928711259166066450e+00,1.472649456288514180e+00,4.216068383724280166e-01,-1.759477449434155183e+00,1.407422166291699417e-01,5.390945876518622032e-02,-1.106762418973641804e+00,-2.167077077863741152e+00,9.412507537145288206e-01,-4.649896501024606277e-01,7.313831772616049554e-01,-3.437202187220161353e-01,-2.234709927445989841e+00,-6.084427634020557196e-01,-1.216124820134239837e+00,-1.892263078996418435e-01,6.515055087302968895e-01,1.327516948065301072e+00,2.763603121991159983e-01,8.544895779086797427e-01,-4.924880803401781582e-01
1,7.303595756569783326e+00,3.472230341741236348e+00,-1.157346261957406357e-02,-4.174894625076137067e-01,1.102624894510374709e+00,-7.823434847295425432e-02,6.445049753276099747e-01,2.057502381271220315e+00,5.879385174107245454e-02,-4.070448133921715783e-01,-4.274886474872307551e-01,-9.973030683158159437e-01,-7.089240051331540116e-01,-7.684753579742643614e-01,9.850940384264184058e-01,5.381638297191174702e-01,8.023671992204297609e-01,5.193148979093779039e-01,1.342459069009435679e-01,3.887213016991992731e-01,-1.866341488722183861e+00,-5.048377700690993564e-01,-3.916227611655395680e-01,-5.800294087487054551e-01,-1.431840217078847344e+00,-2.610552549486628848e-01,2.119712532396627047e-01,4.696375857141920074e-01,-1.441001645037090217e-01,-6.409317734053785465e-01
3,3.853743208813213528e+00,-6.657873603871814261e+00,1.447546456518152835e+00,7.142492475295845189e-01,1.338341509824219955e+00,-3.330160917980082846e-01,-1.435632519859003087e-01,1.256146575555433520e-01,-5.749857773531288213e-02,-4.359074247632038768e-01,-6.022476742934089744e-01,1.320439017385350189e+00,1.359086490923884893e+00,1.273247715118461132e+00,3.797368172548438170e-01,2.301921490383598001e-01,1.070535091405859562e+00,2.485188250235368379e-01,6.405839063716299853e-01,-4.463787829012457187e-01,1.388478302214377902e-01,-5.663833580502459532e-03,-4.795066742705920149e-01,5.726185730898669668e-01,-1.475818614813065865e+00,-6.669369953020403141e-01,-8.942099857362884041e-01,1.610013052498169769e-02,4.225201998622721278e-01,1.372833492922699850e-01
9,-4.323448735734878312e+00,2.227118752125555323e-01,-8.766331287679499651e-01,-1.926977082340609160e+00,2.401579407220423512e+00,8.509807280635479643e-01,-7.246888020149492293e-01,1.064926363727143999e+00,1.731859556552005075e-01,-8.881213593373649129e-01,-1.617247041033521016e-01,1.625389763088983752e+00,6.137020266260767576e-01,4.701567046192503541e-01,5.728473361327000024e-01,3.754317830198434791e-01,1.827428870097124181e-01,-1.291869936544804309e+00,2.646559144157014515e-02,-8.142714471772912743e-01,-1.698604538394220986e+00,-1.016116091371842556e+00,-1.458785767759920859e-01,-8.176217577713968954e-01,-9.240961882329319366e-01,-7.398681915718628710e-02,-3.556616403335628035e-02,-8.635074330112012531e-01,7.631707958939419889e-01,9.842630968050946061e-01
9,-2.867215200119067386e+00,2.459937231228487564e-01,-1.858077690761707590e+00,-1.247404412093882753e+00,7.268716551832957729e-01,4.725207696220368736e-01,2.988568480128367622e+00,-7.903390493954304263e-01,-1.576358261053232068e+00,2.720691083595975224e-01,6.012759246355389026e-02,9.331328743710776141e-02,-9.752654452495744808e-01,-5.544795323763543893e-01,7.283035044255559143e-01,-1.537021371025479310e-01,1.102666731519415633e+00,6.579693187227381168e-01,-4.513490314142501458e-01,-1.991427668971861742e+00,-8.517159034500757508e-01,1.038037169006129634e-01,8.308626634395234467e-02,8.652188174942587739e-01,1.430046674085530545e-01,-1.079692913775644802e+00,2.580168501103541345e-01,5.858796534797665323e-02,-4.147217020232601969e-01,-1.241505112157243185e-01
1,5.595314177911323128e+00,4.022420390413096847e+00,-8.245535260548801648e-02,8.326942722898258986e-02,1.087016489256604101e+00,-4.790399200490532694e-01,4.694869279653288152e-01,1.869087580521318959e+00,-2.380819784261434605e-02,4.788592052550141309e-01,-2.848423589865570760e-01,1.176507151963246400e+00,-4.302435250031558939e-02,-1.977144650741879950e+00,1.112469594170567344e+00,1.576731775061901430e+00,3.732987227505477068e-02,-1.628320841721705298e-02,2.196427645036908849e-01,-5.886865858393257323e-02,-2.079610216391782618e-01,-9.474499857759566268e-01,-3.728504402168384552e-02,2.455617041125484068e-01,-1.272864060126398966e+00,-1.054073134400894673e+00,-5.743436319000566614e-02,-3.291963794981879188e-01,-1.584810122492266604e+00,-9.302583479073452954e-01
7,-2.906976692011922658e+00,4.091162623670027143e-01,9.794122757792925738e-01,1.158999922476862676e-01,9.181656837685069350e-01,-1.092878817641124378e+00,6.330731712628034913e-01,3.027742965202301351e-01,-2.635426238566666024e-01,3.762132833140258148e-01,9.664579306956144755e-01,-7.229187128879148716e-01,-1.225794917365970738e-01,-3.072148516284427533e-01,1.166216817311327009e-01,8.348551962453136799e-01,1.372922603097082583e-01,-6.395487194879900805e-01,-4.226321132784228718e-01,8.720542158599587923e-01,-1.428836730512575315e+00,1.838486709318321588e-01,1.263129696168715288e+00,-3.477811378648474894e-01,6.071463710164695105e-01,-4.540904796053181480e-02,-1.479386777034094491e+00,-7.694106124572724914e-01,1.469195346188392204e-01,1.965346688441021117e+00
